,publicationName,source_id,issn,eIssn,aggregationType,count,q_issn,availability,coverage,coverageRange
60,Comparative Biochemistry and Physiology - A Molecular and Integrative Physiology,3500148021,10956433,15314332,Journal,5.0,15314332,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1998 volume: 119 issue: 1.', 'Scholars Portal': 'Available from 1998 volume: 119 issue: 1.'}","['1998 - present', '1998 - present']"
61,Molecular Ecology Notes,20299,14718278,14718286,Journal,5.0,14718286,"Full-text available, but not complete","{'CRKN Wiley Online Library': 'Available from 2001 volume: 1 issue: 3 until 2007 volume: 7 issue: 6.', 'Scholars Portal': 'Available from 2001 volume: 1 issue: 1 until 2008 volume: 8 issue: 2.'}","['2001 - 2007', '2001 - 2008']"
62,Journal of Neuroscience,16764,02706474,15292401,Journal,5.0,15292401,Full-text available with embargo,"{'Highwire Press Free': 'Available from 1981.Most recent 6 month(s) not available.', 'Free E- Journals': 'Available from 1981 volume: 1 issue: 1.Most recent 6 month(s) not available.', 'PubMed Central': 'Available from 1997 volume: 17.Most recent 6 month(s) not available.'}","['1981 - 6 month ago', '1981 - 6 month ago', '1997 - 6 month ago']"
63,Development,14531,09501991,14779129,Journal,5.0,14779129,Full-text available to present,"{'Highwire Press Company of Biologists': 'Available from 1987.', 'Highwire Press Free': 'Available from 1987 volume: 99 issue: 1.Most recent 6 month(s) not available.'}","['1987 - present', '1987 - 6 month ago']"
64,Hearing Research,13707,03785955,18785891,Journal,5.0,18785891,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 82 issue: 1.', 'Scholars Portal': 'Available from 1978 volume: 1 issue: 1.'}","['1995 - present', '1978 - present']"
65,Developmental Biology,14536,00121606,1095564X,Journal,5.0,1095564X,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1993 volume: 155 issue: 1.', 'Scholars Portal': 'Available from 1993 volume: 155 issue: 1.'}","['1993 - present', '1993 - present']"
66,Journal of Heredity,18926,00221503,14657333,Journal,5.0,14657333,Full-text available to present,"{'Free E- Journals': 'Available from 1996 volume: 87.', 'Oxford University Press Journals Digital Archive': 'Available from 1914 volume: 5 issue: 1 until 1995 volume: 86 issue: 6.', 'ProQuest European Business Database': 'Available from 2008.', 'Scholars Portal': 'Available from 2000 volume: 91 issue: 3.', 'CRKN Oxford University Press Current': 'Available from 1996 volume: 87 issue: 1.'}","['1996 - present', '1914 - 1995', '2008 - present', '2000 - present', '1996 - present']"
67,Rapid Communications in Mass Spectrometry,24088,09514198,10970231,Journal,5.0,10970231,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1996 volume: 10 issue: 1.', 'Scholars Portal': 'Available from 1995 volume: 9 issue: 1.'}","['1996 - present', '1995 - present']"
68,Environmental Entomology,20311,0046225X,19382936,Journal,5.0,19382936,Full-text available to present,"{'Scholars Portal': 'Available from 2000 volume: 29 issue: 1.', 'CRKN Oxford University Press Current': 'Available from 1996 volume: 25 issue: 1.', 'BioOne Complete': 'Available from 2000 until 2015.'}","['2000 - present', '1996 - present', '2000 - 2015']"
69,Journal of Neurophysiology,23475,00223077,,Journal,5.0,00223077,Full-text available to present,{'American Physiological Society': 'Available from 1938.'},['1938 - present']
70,Journal of Cell Science,18556,00219533,14779137,Journal,5.0,14779137,Full-text available to present,"{'Highwire Press Free': 'Available from 1966 volume: 1 issue: 1.Most recent 6 month(s) not available.', 'Highwire Press Company of Biologists': 'Available from 1930.'}","['1966 - 6 month ago', '1930 - present']"
71,Polar Biology,13048,07224060,,Journal,5.0,07224060,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1997 volume: 17 issue: 1.', 'SpringerLink Historical Archives Biomedical and Life Sciences': 'Available from 1982 volume: 1 until 1996 volume: 16.', 'Scholars Portal': 'Available from 1982 volume: 1 issue: 1.', 'SciTech Premium Collection': 'Available from 1997.Most recent 1 year(s) not available.'}","['1997 - present', '1982 - 1996', '1982 - present', '1997 - 1 year ago']"
72,Gene,15636,03781119,,Journal,5.0,03781119,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 152 issue: 1.', 'Scholars Portal': 'Available from 1995 volume: 152 issue: 1.'}","['1995 - present', '1995 - present']"
73,Conservation Biology,17822,08888892,15231739,Journal,5.0,15231739,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1995 volume: 9 issue: 1.', 'JSTOR Life Sciences Collection': 'Available from 1987 volume: 1 issue: 1.Most recent 6 year(s) not available.', 'Scholars Portal': 'Available from 1997 volume: 11 issue: 1.'}","['1995 - present', '1987 - 6 year ago', '1997 - present']"
74,Marine Pollution Bulletin,24024,0025326X,18793363,Journal,5.0,18793363,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 30 issue: 1.', 'Scholars Portal': 'Available from 1970 volume: 1 issue: 1.'}","['1995 - present', '1970 - present']"
75,Wilson Journal of Ornithology,4400151710,15594491,,Journal,4.0,15594491,Full-text available to present,"{'EBSCOhost Academic Search Complete': 'Available from 2006.', 'Gale Cengage Academic OneFile': 'Available from 2006.', 'JSTOR Life Sciences Collection': 'Available from 2006 volume: 118 issue: 1.Most recent 4 year(s) not available.', 'Scholars Portal': 'Available from 2006 volume: 118 issue: 1.', 'SciTech Premium Collection': 'Available from 1997.', 'BioOne Complete': 'Available from 2006.'}","['2006 - present', '2006 - present', '2006 - 4 year ago', '2006 - present', '1997 - present', '2006 - present']"
76,Biology Letters,145678,17449561,1744957X,Journal,4.0,1744957X,Full-text available with embargo,{'PubMed Central': 'Available from 2005 volume: 1.Most recent 1 year(s) not available.'},['2005 - 1 year ago']
77,Journal of Experimental Marine Biology and Ecology,29606,00220981,,Journal,4.0,00220981,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 185 issue: 1.', 'Scholars Portal': 'Available from 1967 volume: 1 issue: 1.'}","['1995 - present', '1967 - present']"
78,Aquaculture Research,29427,1355557X,,Journal,4.0,1355557X,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1970 volume: 1 issue: 1.', 'Scholars Portal': 'Available from 1970 volume: 1 issue: 1.'}","['1970 - present', '1970 - present']"
79,Nature,21206,,14764687,Journal,4.0,14764687,Full-text available to present,"{'EBSCOhost Academic Search Complete': 'Available from 1997 until 2015.', 'Free E- Journals': 'Available from 1869 volume: 1 issue: 1 until 1875 volume: 12 issue: 313.', 'Gale Cengage Academic OneFile': 'Available from 2000.Most recent 1 year(s) not available.', 'Gale Cengage CPI.Q': 'Available from 2000.Most recent 1 year(s) not available.', 'Nature': 'Available from 1987 volume: 325 issue: 1.', 'SciTech Premium Collection': 'Available from 1990.Most recent 1 year(s) not available.', 'Nursing & Allied Health Database': 'Available from 1990.Most recent 1 year(s) not available.'}","['1997 - 2015', '1869 - 1875', '2000 - 1 year ago', '2000 - 1 year ago', '1987 - present', '1990 - 1 year ago', '1990 - 1 year ago']"
81,Theriogenology,18903,0093691X,,Journal,4.0,0093691X,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 43 issue: 1.', 'Scholars Portal': 'Available from 1995 volume: 43 issue: 1.'}","['1995 - present', '1995 - present']"
82,Evolutionary Applications,19400157205,17524563,17524571,Journal,4.0,17524571,Full-text available to present,"{'DOAJ Directory of Open Access Journals': 'Available from 2008.', 'PubMed Central': 'Available from 2008 volume: 1.', 'SciTech Premium Collection': 'Available from 2012.'}","['2008 - present', '2008 - present', '2012 - present']"
83,Integrated Environmental Assessment and Management,4400151417,15513793,,Journal,4.0,15513793,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 2005 volume: 1 issue: 1.', 'Scholars Portal': 'Available from 2005 volume: 1 issue: 1.', 'SciTech Premium Collection': 'Available from 2005 until 2009.', 'BioOne Complete': 'Available from 2005 until 2009.'}","['2005 - present', '2005 - present', '2005 - 2009', '2005 - 2009']"
84,Methods in Ecology and Evolution,21100217611,,2041210X,Journal,4.0,2041210X,Full-text available to present,"{'Scholars Portal': 'Available from 2010 volume: 1 issue: 1.', 'CRKN Wiley Online Library': 'Available from 2010 volume: 1 issue: 1.'}","['2010 - present', '2010 - present']"
85,Aquatic Biology,17300154739,18647782,18647790,Journal,4.0,18647790,Full-text available to present,"{'Free E- Journals': 'Available from 2007 volume: 1 issue: 1.', 'DOAJ Directory of Open Access Journals': 'Available from 2007 volume: 1 issue: 1.'}","['2007 - present', '2007 - present']"
86,Current Biology,15537,09609822,,Journal,4.0,09609822,Full-text available to present,"{'Scholars Portal': 'Available from 1991 volume: 1 issue: 1.', 'Elsevier SD Cell Press': 'Available from 1991 volume: 1 issue: 1 until 2018 volume: 28 issue: 6.'}","['1991 - present', '1991 - 2018']"
87,Journal of Cell Biology,18555,00219525,15408140,Journal,4.0,15408140,Full-text available with embargo,"{'Highwire Press Free': 'Available from 1955 volume: 1 issue: 1.Most recent 6 month(s) not available.', 'PubMed Central': 'Available from 1962 volume: 12.Most recent 6 month(s) not available.'}","['1955 - 6 month ago', '1962 - 6 month ago']"
88,Biochemistry and Cell Biology,16870,08298211,12086002,Journal,4.0,12086002,Full-text available to present,"{'EBSCOhost Academic Search Complete': 'Available from 2001.Most recent 1 year(s) not available.', 'Gale Cengage Academic OneFile': 'Available from 2006.Most recent 1 year(s) not available.', 'Gale Cengage CPI.Q': 'Available from 2006.Most recent 1 year(s) not available.', 'Canadian Science Publishing (NRC Research Press) Current': 'Available from 1964 volume: 42 issue: 1.', 'Canadian Science Publishing (NRC Research Press) Back Issues': 'Available from 1986 volume: 64 issue: 1 until 1995 volume: 73 issue: 12.', 'Canadian Business & Current Affairs Database (CBCA)': 'Available from 1998 until 2007.', 'Canadian Business & Current Affairs Database: Reference (CBCA)': 'Available from 1998 until 2007.', 'SciTech Premium Collection': 'Available from 1998 until 2007.'}","['2001 - 1 year ago', '2006 - 1 year ago', '2006 - 1 year ago', '1964 - present', '1986 - 1995', '1998 - 2007', '1998 - 2007', '1998 - 2007']"
89,Journal of the Acoustical Society of America,12936,00014966,,Journal,4.0,00014966,Full-text available to present,"{'AIP Scitation Journals Complete': 'Available from 1929 volume: 1 issue: 1.', 'PubMed Central': 'Available from 1929 volume: 1 issue: 1.'}","['1929 - present', '1929 - present']"
90,Entomologia Experimentalis et Applicata,19793,00138703,15707458,Journal,4.0,15707458,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1996 volume: 81 issue: 3.', 'Scholars Portal': 'Available from 1958 volume: 1 issue: 1.'}","['1996 - present', '1958 - present']"
91,Fish Physiology and Biochemistry,21930,09201742,,Journal,4.0,09201742,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1997 volume: 16 issue: 1.', 'SpringerLink Historical Archives Biomedical and Life Sciences': 'Available from 1986 volume: 1 until 1996 volume: 15.', 'Scholars Portal': 'Available from 1986 volume: 1 issue: 1.', 'SciTech Premium Collection': 'Available from 1997.Most recent 1 year(s) not available.'}","['1997 - present', '1986 - 1996', '1986 - present', '1997 - 1 year ago']"
92,Royal Society Open Science,21100446014,,20545703,Journal,4.0,20545703,Full-text available to present,"{'PubMed Central': 'Available from 2014 volume: 1.', 'DOAJ Directory of Open Access Journals': 'Available from 2014.'}","['2014 - present', '2014 - present']"
93,Environment International,20912,01604120,18736750,Journal,3.0,18736750,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 21 issue: 1.', 'Scholars Portal': 'Available from 1978 volume: 1 issue: 1.'}","['1995 - present', '1978 - present']"
94,Freshwater Science,21100297824,21619549,21619565,Journal,3.0,21619565,Full-text available with embargo,"{'EBSCOhost Academic Search Complete': 'Available from 2013.Most recent 1 year(s) not available.', 'Scholars Portal': 'Available from 2012 volume: 31 issue: 1 until 2014 volume: 33 issue: 2.', 'JSTOR Life Sciences Collection': 'Available from 2012 volume: 31 issue: 1.Most recent 4 year(s) not available.', 'BioOne Complete': 'Available from 2012 until 2014.'}","['2013 - 1 year ago', '2012 - 2014', '2012 - 4 year ago', '2012 - 2014']"
95,Molecular Ecology Resources,11700154306,1755098X,17550998,Journal,3.0,17550998,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 2008 volume: 8 issue: 1.', 'Scholars Portal': 'Available from 2008 volume: 8 issue: 1.'}","['2008 - present', '2008 - present']"
96,Neuroscience Letters,18046,03043940,,Journal,3.0,03043940,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 183 issue: 1.', 'Scholars Portal': 'Available from 1975 volume: 1 issue: 1.'}","['1995 - present', '1975 - present']"
97,Journal of Morphology,29629,03622525,10974687,Journal,3.0,10974687,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1996 volume: 227 issue: 1.', 'Scholars Portal': 'Available from 1995 volume: 223 issue: 1.'}","['1996 - present', '1995 - present']"
98,Marine Biodiversity,18300156716,18671616,18671624,Journal,3.0,18671624,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1998 volume: 28 issue: 4.', 'Scholars Portal': 'Available from 2009 volume: 39 issue: 1.'}","['1998 - present', '2009 - present']"
99,Plant Cell Reports,16595,07217714,1432203X,Journal,3.0,1432203X,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1997 volume: 16 issue: 5.', 'SpringerLink Historical Archives Biomedical and Life Sciences': 'Available from 1981 volume: 1 until 1996 volume: 15.', 'Scholars Portal': 'Available from 1981 volume: 1 issue: 1.', 'SciTech Premium Collection': 'Available from 1997.Most recent 1 year(s) not available.'}","['1997 - present', '1981 - 1996', '1981 - present', '1997 - 1 year ago']"
100,Biological Conservation,17244,00063207,,Journal,3.0,00063207,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 71 issue: 1.', 'Scholars Portal': 'Available from 1968 volume: 1 issue: 1.'}","['1995 - present', '1968 - present']"
101,Conservation Genetics Resources,19400158520,18777252,18777260,Journal,3.0,18777260,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 2009 volume: 1 issue: 1.', 'Scholars Portal': 'Available from 2009 volume: 1 issue: 1.'}","['2009 - present', '2009 - present']"
102,Journal of Neurogenetics,16746,01677063,15635260,Journal,3.0,15635260,Full-text available to present,"{'EBSCOhost Academic Search Complete': 'Available from 2002.Most recent 1 year(s) 6 month(s) not available.', 'Scholars Portal': 'Available from 1983 volume: 1 issue: 1 until 2013 volume: 27 issue: 4.', 'Taylor & Francis Journals Complete': 'Available from 1983 volume: 1 issue: 1.'}","['2002 - 1 year ago', '1983 - 2013', '1983 - present']"
103,BMC Cancer,28747,,14712407,Journal,3.0,14712407,Full-text available to present,"{'DOAJ Directory of Open Access Journals': 'Available from 2001.', 'EBSCOhost Academic Search Complete': 'Available from 2001.', 'Gale Cengage Academic OneFile': 'Available from 2002 until 2002.Available from 2005 until 2013.Available from 2015.', 'PubMed Central': 'Available from 2001 volume: 1.', 'SpringerOpen Free': 'Available from 2001.', 'BioMed Central Open Access Free': 'Available from 2001.'}","['2001 - present', '2001 - present', '2002 - 2002', '2001 - present', '2001 - present', '2001 - present']"
106,Genome,22211,08312796,,Journal,3.0,08312796,Full-text available to present,"{'EBSCOhost Academic Search Complete': 'Available from 2001.Most recent 1 year(s) not available.', 'Gale Cengage Academic OneFile': 'Available from 2006.Most recent 1 year(s) not available.', 'Gale Cengage CPI.Q': 'Available from 2006.Most recent 1 year(s) not available.', 'Canadian Science Publishing (NRC Research Press) Current': 'Available from 1959 volume: 1 issue: 1.', 'Canadian Science Publishing (NRC Research Press) Back Issues': 'Available from 1987 volume: 29 issue: 1 until 1995 volume: 38 issue: 6.', 'Canadian Business & Current Affairs Database (CBCA)': 'Available from 1998 volume: 41 issue: 1 until 2007 volume: 50 issue: 6.', 'Canadian Business & Current Affairs Database: Reference (CBCA)': 'Available from 1998 until 2007.', 'SciTech Premium Collection': 'Available from 1998 until 2007.'}","['2001 - 1 year ago', '2006 - 1 year ago', '2006 - 1 year ago', '1959 - present', '1987 - 1995', '1998 - 2007', '1998 - 2007', '1998 - 2007']"
107,Biocontrol Science and Technology,36197,09583157,13600478,Journal,3.0,13600478,Full-text available to present,"{'Taylor & Francis Journals Complete': 'Available from 1997.', 'Scholars Portal': 'Available from 1996 volume: 6 issue: 1.', 'SciTech Premium Collection': 'Available from 1998 until 2000.'}","['1997 - present', '1996 - present', '1998 - 2000']"
108,Marine and Freshwater Research,27846,13231650,,Journal,3.0,13231650,No full-text available,{},[]
109,Biological Journal of the Linnean Society,29771,00244066,10958312,Journal,3.0,10958312,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 2007 volume: 108 issue: 1 until 2016 volume: 117 issue: 4.', 'EBSCOhost Academic Search Complete': 'Available from 2003.Most recent 1 year(s) not available.', 'Scholars Portal': 'Available from 1969 volume: 1 issue: 3.', 'CRKN Oxford University Press Current': 'Available from 1996 volume: 57 issue: 1.'}","['2007 - 2016', '2003 - 1 year ago', '1969 - present', '1996 - present']"
110,Environmental Biology of Fishes,21487,03781909,15735133,Journal,3.0,15735133,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1997 volume: 48 issue: 1.', 'SpringerLink Historical Archives Biomedical and Life Sciences': 'Available from 1976 volume: 1 until 1996 volume: 47.', 'SpringerLink Historical Archives Earth and Environmental Sciences': 'Available from 1976 volume: 1 until 1996 volume: 47.', 'Scholars Portal': 'Available from 1976 volume: 1 issue: 1.', 'SciTech Premium Collection': 'Available from 1997.Most recent 1 year(s) not available.'}","['1997 - present', '1976 - 1996', '1976 - 1996', '1976 - present', '1997 - 1 year ago']"
111,"Water, Air, and Soil Pollution",24554,00496979,15732932,Journal,3.0,15732932,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1997 volume: 93 issue: 1.', 'Gale Cengage Academic OneFile': 'Available from 2010.Most recent 1 year(s) not available.', 'ABI/INFORM Collection': 'Available from 1997.Most recent 1 year(s) not available.', 'ABI/INFORM Global': 'Available from 1997.Most recent 1 year(s) not available.', 'SpringerLink Historical Archives Earth and Environmental Sciences': 'Available from 1971 volume: 1 until 1996 volume: 92.', 'Scholars Portal': 'Available from 1971 volume: 1 issue: 1.', 'SciTech Premium Collection': 'Available from 1997.Most recent 1 year(s) not available.'}","['1997 - present', '2010 - 1 year ago', '1997 - 1 year ago', '1997 - 1 year ago', '1971 - 1996', '1971 - present', '1997 - 1 year ago']"
112,Molecular Phylogenetics and Evolution,18965,10557903,10959513,Journal,3.0,10959513,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1993 volume: 2 issue: 1.', 'Scholars Portal': 'Available from 1993 volume: 2 issue: 1.'}","['1993 - present', '1993 - present']"
113,Brain Research,14346,00068993,,Journal,3.0,00068993,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 669 issue: 1.', 'Scholars Portal': 'Available from 1966 volume: 1 issue: 1.'}","['1995 - present', '1966 - present']"
114,EMBO Journal,17435,02614189,14602075,Journal,3.0,14602075,Full-text available to present,"{'PubMed Central': 'Available from 1982 volume: 1.Most recent 1 year(s) not available.', 'Highwire Press Free': 'Available from 1997.Most recent 1 year(s) not available.', 'Scholars Portal': 'Available from 1997 volume: 16 issue: 1.', 'CRKN Wiley Online Library': 'Available from 1997 volume: 16 issue: 1.', 'SciTech Premium Collection': 'Available from 2000 until 2013.'}","['1982 - 1 year ago', '1997 - 1 year ago', '1997 - present', '1997 - present', '2000 - 2013']"
115,Environmental Research,21524,00139351,10960953,Journal,3.0,10960953,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1993 volume: 60 issue: 1.', 'Scholars Portal': 'Available from 1967 volume: 1 issue: 1.'}","['1993 - present', '1967 - present']"
116,Trends in Ecology and Evolution,14365,01695347,,Journal,3.0,01695347,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 10 issue: 1.', 'Scholars Portal': 'Available from 1986 volume: 1 issue: 1.'}","['1995 - present', '1986 - present']"
117,BioScience,13768,00063568,15253244,Journal,3.0,15253244,Full-text available to present,"{'EBSCOhost Academic Search Complete': 'Available from 1992.Most recent 1 year(s) not available.', 'Gale Cengage Academic OneFile': 'Available from 1989 until 2011.', 'JSTOR Life Sciences Collection': 'Available from 1964 volume: 14 issue: 1.Most recent 4 year(s) not available.', 'Scholars Portal': 'Available from 1964 volume: 14 issue: 1 until 2013 volume: 65 issue: 11.', 'CRKN Oxford University Press Current': 'Available from 1996 volume: 46 issue: 1.', 'SciTech Premium Collection': 'Available from 1988 until 2012.', 'BioOne Complete': 'Available from 2000 until 2013.'}","['1992 - 1 year ago', '1989 - 2011', '1964 - 4 year ago', '1964 - 2013', '1996 - present', '1988 - 2012', '2000 - 2013']"
118,Developmental Dynamics,14538,10588388,10970177,Journal,3.0,10970177,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1996 volume: 205 issue: 1.', 'Scholars Portal': 'Available from 1995 volume: 202 issue: 1.'}","['1996 - present', '1995 - present']"
119,Integrative and Comparative Biology,22023,15407063,15577023,Journal,3.0,15577023,Full-text available to present,"{'Free E- Journals': 'Available from 1996 volume: 36 issue: 1.Most recent 1 year(s) not available.', 'JSTOR Life Sciences Collection': 'Available from 2002 volume: 42 issue: 1.Most recent 6 year(s) not available.', 'Oxford University Press Journals Digital Archive': 'Available from 1961 volume: 1 issue: 1 until 1995 volume: 35 issue: 6.', 'Scholars Portal': 'Available from 1961 volume: 1 issue: 1 until 2011 volume: 51 issue: 6.', 'CRKN Oxford University Press Current': 'Available from 2002 volume: 42 issue: 1.', 'BioOne Complete': 'Available from 2002 until 2005.'}","['1996 - 1 year ago', '2002 - 6 year ago', '1961 - 1995', '1961 - 2011', '2002 - present', '2002 - 2005']"
120,Environmental Monitoring and Assessment,21482,01676369,15732959,Journal,3.0,15732959,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1997 volume: 44 issue: 1.', 'ABI/INFORM Collection': 'Available from 1997.Most recent 1 year(s) not available.', 'ABI/INFORM Global': 'Available from 1997.Most recent 1 year(s) not available.', 'SpringerLink Historical Archives Earth and Environmental Sciences': 'Available from 1981 volume: 1 until 1996 volume: 43.', 'Scholars Portal': 'Available from 1981 volume: 1 issue: 1.', 'SciTech Premium Collection': 'Available from 1997.Most recent 1 year(s) not available.'}","['1997 - present', '1997 - 1 year ago', '1997 - 1 year ago', '1981 - 1996', '1981 - present', '1997 - 1 year ago']"
121,Journal of Toxicology and Environmental Health - Part A: Current Issues,25151,15287394,10872620,Journal,3.0,10872620,Full-text available to present,"{'Taylor & Francis Journals Complete': 'Available from 1998 volume: 53 issue: 1.', 'Scholars Portal': 'Available from 1998 volume: 53 issue: 1.'}","['1998 - present', '1998 - present']"
122,Evolution,22104,00143820,15585646,Journal,3.0,15585646,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 2000 volume: 54 issue: 1.', 'Factiva': 'Available from 2001 until 2005.', 'Gale Cengage Academic OneFile': 'Available from 1992 until 1998.', 'JSTOR Life Sciences Collection': 'Available from 1947 volume: 1.Most recent 3 year(s) not available.', 'Scholars Portal': 'Available from 2000 volume: 54 issue: 1.', 'BioOne Complete': 'Available from 2000 until 2009.'}","['2000 - present', '2001 - 2005', '1992 - 1998', '1947 - 3 year ago', '2000 - present', '2000 - 2009']"
123,Deep-Sea Research Part I: Oceanographic Research Papers,26830,09670637,,Journal,3.0,09670637,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 42 issue: 1.', 'Scholars Portal': 'Available from 1995 volume: 42 issue: 1.'}","['1995 - present', '1995 - present']"
124,Coral Reefs,26825,07224028,,Journal,3.0,07224028,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1997 volume: 16 issue: 1.', 'SpringerLink Historical Archives Earth and Environmental Sciences': 'Available from 1982 volume: 1 until 1996 volume: 15.', 'Scholars Portal': 'Available from 1982 volume: 1 issue: 1.', 'SciTech Premium Collection': 'Available from 2003.Most recent 1 year(s) not available.'}","['1997 - present', '1982 - 1996', '1982 - present', '2003 - 1 year ago']"
125,Plant Cell,16594,10404651,,Journal,3.0,10404651,Full-text available to present,"{'Free E- Journals': 'Available from 1989 volume: 1.', 'Highwire Press Free': 'Available from 1989.Most recent 1 year(s) not available.', 'JSTOR Life Sciences Collection': 'Available from 1989 volume: 1 issue: 1.Most recent 3 year(s) not available.', 'PubMed Central': 'Available from 1989 volume: 1.Most recent 1 year(s) not available.', 'JSTOR Ecology & Botany II': 'Available from 1989 volume: 1 issue: 1.Most recent 3 year(s) not available.', 'SciTech Premium Collection': 'Available from 1998 until 2012.'}","['1989 - present', '1989 - 1 year ago', '1989 - 3 year ago', '1989 - 1 year ago', '1989 - 3 year ago', '1998 - 2012']"
126,Proceedings of the National Academy of Sciences of the United States of America,21121,00278424,10916490,Journal,3.0,10916490,Full-text available to present,"{'Highwire Press Free': 'Available from 1915 volume: 1 issue: 1.Most recent 6 month(s) not available.', 'Highwire Press National Academy of Sciences': 'Available from 1915 volume: 1 issue: 1.', 'JSTOR Life Sciences Collection': 'Available from 1915 volume: 1 issue: 1.Most recent 3 year(s) not available.', 'PubMed Central': 'Available from 1915 volume: 1.Most recent 6 month(s) not available.', 'EBSCOhost Electronic Journals Service': 'Available from 1915 volume: 1 issue: 1.'}","['1915 - 6 month ago', '1915 - present', '1915 - 3 year ago', '1915 - 6 month ago', '1915 - present']"
127,Wetlands,19429,02775212,19436246,Journal,3.0,19436246,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1997 volume: 17 issue: 1.', 'Scholars Portal': 'Available from 1997 volume: 17 issue: 1.', 'BioOne Complete': 'Available from 2000 until 2009.'}","['1997 - present', '1997 - present', '2000 - 2009']"
128,Archiv fur Hydrobiologie,13046,00039136,,Journal,3.0,00039136,No full-text available,{},[]
129,Journal of the American Water Resources Association,19640,1093474X,17521688,Journal,2.0,17521688,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1997 volume: 33 issue: 1.', 'Scholars Portal': 'Available from 1967 volume: 3 issue: 1.', 'SciTech Premium Collection': 'Available from 2002 until 2009.'}","['1997 - present', '1967 - present', '2002 - 2009']"
130,Current Zoology,17600155124,16745507,,Journal,2.0,16745507,Full-text available to present,"{'DOAJ Directory of Open Access Journals': 'Available from 2011 volume: 57 issue: 1.', 'Bioline International': 'Available from 2001 volume: 47 issue: 1 until 2015 volume: 61 issue: 6.', 'SciTech Premium Collection': 'Available from 2011.Most recent 1 year(s) not available.', 'PubMed Central': 'Available from 2016 volume: 62.'}","['2011 - present', '2001 - 2015', '2011 - 1 year ago', '2016 - present']"
